Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;

41;"Hannover-Land II";3;240409;;;;;;;;;;;;;;;;;;69644;;;;65169;;;;7228;;;;8669;;;;16212;;;;;;;;2737;;;;1499;;;;1429;;;;172;;;;;;;;;;;;;;;;;;;;;;;;168;;;;;;;;;;;;53;;;;;;;;;;;;6958;;;;;;;;309;;;;;;;;;;;;1044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;"Hildesheim";3;219571;;;;;;;;;;;;;;;;;;63041;;;;59319;;;;5589;;;;8120;;;;14587;;;;;;;;2937;;;;1482;;;;1208;;;;92;;;;;;;;;;;;;;;;;;;;;;;;151;;;;;;;;;;;;31;;;;;;;;;;;;5601;;;;;;;;384;;;;;;;;;;;;455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;"Salzgitter - Wolfenbüttel";3;208990;;;;;;;;;;;;;;;;;;53593;;;;58881;;;;5142;;;;8461;;;;11013;;;;;;;;2228;;;;1796;;;;1286;;;;208;;;;;;;;;;;;;;;;;;;;;;;;167;;;;;;;;;;;;39;;;;;;;;;;;;5938;;;;;;;;183;;;;;;;;;;;;1046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;"Braunschweig";3;193799;;;;;;;;;;;;;;;;;;48419;;;;47741;;;;6214;;;;9527;;;;17614;;;;;;;;4169;;;;1038;;;;1295;;;;97;;;;;;;;;;;;;;;;;;;;;;;;128;;;;;;;;;;;;100;;;;;;;;;;;;5092;;;;;;;;127;;;;;;;;;;;;724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;"Helmstedt - Wolfsburg";3;187425;;;;;;;;;;;;;;;;;;54188;;;;45837;;;;4796;;;;6440;;;;9004;;;;;;;;2460;;;;1840;;;;1182;;;;44;;;;;;;;;;;;;;;;;;;;;;;;254;;;;;;;;;;;;38;;;;;;;;;;;;4892;;;;;;;;157;;;;;;;;;;;;643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;"Goslar - Northeim - Osterode";3;208311;;;;;;;;;;;;;;;;;;55775;;;;55985;;;;6099;;;;7475;;;;10141;;;;;;;;2141;;;;1493;;;;1086;;;;93;;;;;;;;;;;;;;;;;;;;;;;;134;;;;;;;;;;;;33;;;;;;;;;;;;5733;;;;;;;;241;;;;;;;;;;;;835;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;"Göttingen";3;222102;;;;;;;;;;;;;;;;;;59000;;;;54410;;;;6667;;;;10432;;;;20076;;;;;;;;3173;;;;1280;;;;1178;;;;93;;;;;;;;;;;;;;;;;;;;;;;;145;;;;;;;;;;;;67;;;;;;;;;;;;6121;;;;;;;;234;;;;;;;;;;;;1427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"Niedersachsen";99;6117473;

48;"Bremen I";4;256547;;;;;;;;;;;;;;;;;;55254;;;;60502;;;;7168;;;;18502;;;;25448;;;;;;;;4756;;;;1400;;;;1641;;;;;;;;;;;;;;;;119;;;;;;;;;;;;;;;;;;;;;;;;87;;;;;;;;;;;;6263;;;;;;;;199;;;;;;;;;;;;398;;;;;;;;;;;;959;;;;;;;;;;;;;;;;;;;;;;
49;"Bremen II - Bremerhaven";4;227276;;;;;;;;;;;;;;;;;;41205;;;;56702;;;;4036;;;;14782;;;;14566;;;;;;;;3699;;;;2240;;;;1824;;;;;;;;;;;;;;;;276;;;;;;;;;;;;;;;;;;;;;;;;69;;;;;;;;;;;;6044;;;;;;;;267;;;;;;;;;;;;416;;;;;;;;;;;;590;;;;;;;;;;;;;;;;;;;;;;
4;"Bremen";99;483823;

50;"Aachen I";5;179933;;;;;;;;;;;;;;;;;;48728;;;;36432;;;;8401;;;;10212;;;;17485;;;;;;;;4669;;;;680;;;;;;;;116;;;;221;;;;;;;;40;;;;;;;;;;;;;;;;17;;;;;;;;25;;;;137;;;;14;;;;4149;;;;123;;;;160;;;;46;;;;;;;;555;;;;149;;;;91;;;;784;;;;;;;;;;;;;;;;;;;;;;
51;"Aachen II";5;228375;;;;;;;;;;;;;;;;;;66328;;;;52897;;;;7948;;;;10538;;;;10220;;;;;;;;3712;;;;1697;;;;;;;;792;;;;213;;;;;;;;77;;;;;;;;;;;;;;;;30;;;;;;;;26;;;;338;;;;30;;;;5337;;;;111;;;;320;;;;55;;;;;;;;551;;;;225;;;;104;;;;719;;;;;;;;;;;;;;;;;;;;;;
52;"Heinsberg";5;188266;;;;;;;;;;;;;;;;;;65417;;;;34895;;;;6543;;;;6915;;;;7336;;;;;;;;3019;;;;1427;;;;;;;;254;;;;145;;;;;;;;77;;;;;;;;;;;;;;;;29;;;;;;;;18;;;;231;;;;44;;;;4652;;;;60;;;;251;;;;26;;;;;;;;437;;;;195;;;;112;;;;556;;;;;;;;;;;;;;;;;;;;;;
53;"Düren";5;199550;;;;;;;;;;;;;;;;;;63532;;;;42549;;;;7102;;;;8120;;;;8729;;;;;;;;3478;;;;1565;;;;;;;;183;;;;148;;;;;;;;74;;;;;;;;;;;;;;;;35;;;;;;;;31;;;;373;;;;40;;;;5732;;;;67;;;;311;;;;46;;;;;;;;344;;;;238;;;;122;;;;652;;;;;;;;;;;;;;;;;;;;;;
54;"Rhein-Erft-Kreis I";5;247721;;;;;;;;;;;;;;;;;;75521;;;;55089;;;;10235;;;;9266;;;;12264;;;;;;;;3865;;;;1769;;;;;;;;245;;;;221;;;;;;;;108;;;;;;;;;;;;;;;;46;;;;;;;;19;;;;407;;;;44;;;;6660;;;;225;;;;700;;;;73;;;;;;;;747;;;;313;;;;227;;;;691;;;;;;;;;;;;;;;;;;;;;;
55;"Euskirchen - Rhein-Erft-Kreis II";5;245268;;;;;;;;;;;;;;;;;;79055;;;;46982;;;;11611;;;;9075;;;;12544;;;;;;;;3826;;;;1702;;;;;;;;191;;;;213;;;;;;;;94;;;;;;;;;;;;;;;;24;;;;;;;;35;;;;473;;;;33;;;;7183;;;;96;;;;489;;;;20;;;;;;;;576;;;;277;;;;210;;;;762;;;;;;;;;;;;;;;;;;;;;;
56;"Köln I";5;191277;;;;;;;;;;;;;;;;;;43863;;;;40759;;;;7235;;;;10709;;;;16056;;;;;;;;3501;;;;1032;;;;;;;;168;;;;204;;;;;;;;80;;;;;;;;;;;;;;;;61;;;;;;;;73;;;;208;;;;31;;;;5367;;;;254;;;;411;;;;18;;;;;;;;337;;;;241;;;;111;;;;883;;;;;;;;;;;;;;;;;;;;;;
57;"Köln II";5;233118;;;;;;;;;;;;;;;;;;64909;;;;48190;;;;14871;;;;12689;;;;28642;;;;;;;;4072;;;;596;;;;;;;;103;;;;328;;;;;;;;53;;;;;;;;;;;;;;;;38;;;;;;;;43;;;;213;;;;37;;;;5955;;;;132;;;;245;;;;10;;;;;;;;403;;;;364;;;;96;;;;1030;;;;;;;;;;;;;;;;;;;;;;
58;"Köln III";5;201922;;;;;;;;;;;;;;;;;;42902;;;;44240;;;;6339;;;;12960;;;;20905;;;;;;;;3789;;;;1057;;;;;;;;151;;;;263;;;;;;;;67;;;;;;;;;;;;;;;;59;;;;;;;;57;;;;248;;;;34;;;;4513;;;;381;;;;488;;;;27;;;;;;;;405;;;;293;;;;127;;;;1041;;;;;;;;;;;;;;;;;;;;;;
59;"Bonn";5;226487;;;;;;;;;;;;;;;;;;62844;;;;44909;;;;14418;;;;10988;;;;23686;;;;;;;;4418;;;;801;;;;;;;;92;;;;293;;;;;;;;47;;;;;;;;;;;;;;;;25;;;;;;;;42;;;;197;;;;21;;;;7389;;;;955;;;;358;;;;19;;;;;;;;309;;;;217;;;;132;;;;1079;;;;;;;;;;;;;;;;;;;;;;
60;"Rhein-Sieg-Kreis I";5;234377;;;;;;;;;;;;;;;;;;74187;;;;46065;;;;10796;;;;9496;;;;14000;;;;;;;;3771;;;;1464;;;;;;;;148;;;;238;;;;;;;;103;;;;;;;;;;;;;;;;23;;;;;;;;18;;;;809;;;;38;;;;7514;;;;152;;;;315;;;;20;;;;;;;;534;;;;205;;;;138;;;;713;;;;;;;;;;;;;;;;;;;;;;
61;"Rhein-Sieg-Kreis II";5;213791;;;;;;;;;;;;;;;;;;73860;;;;39571;;;;13468;;;;7433;;;;14122;;;;;;;;3163;;;;1091;;;;;;;;111;;;;270;;;;;;;;75;;;;;;;;;;;;;;;;21;;;;;;;;18;;;;421;;;;17;;;;7362;;;;146;;;;299;;;;10;;;;;;;;585;;;;163;;;;115;;;;589;;;;;;;;;;;;;;;;;;;;;;
62;"Oberbergischer Kreis";5;209414;;;;;;;;;;;;;;;;;;67437;;;;40185;;;;8446;;;;8055;;;;10347;;;;;;;;2849;;;;1329;;;;;;;;152;;;;262;;;;;;;;72;;;;;;;;;;;;;;;;18;;;;;;;;26;;;;363;;;;32;;;;7487;;;;80;;;;473;;;;21;;;;;;;;364;;;;189;;;;130;;;;629;;;;;;;;;;;;;;;;;;;;;;
63;"Rheinisch-Bergischer Kreis";5;216414;;;;;;;;;;;;;;;;;;73278;;;;43721;;;;11676;;;;8473;;;;15113;;;;;;;;3311;;;;1149;;;;;;;;155;;;;265;;;;;;;;79;;;;;;;;;;;;;;;;25;;;;;;;;30;;;;294;;;;24;;;;7945;;;;119;;;;348;;;;28;;;;;;;;463;;;;297;;;;153;;;;774;;;;;;;;;;;;;;;;;;;;;;
64;"Leverkusen - Köln IV";5;214098;;;;;;;;;;;;;;;;;;52884;;;;48511;;;;7212;;;;10615;;;;14283;;;;;;;;3816;;;;1578;;;;;;;;177;;;;202;;;;;;;;65;;;;;;;;;;;;;;;;30;;;;;;;;164;;;;315;;;;23;;;;5807;;;;277;;;;514;;;;16;;;;;;;;632;;;;230;;;;96;;;;993;;;;;;;;;;;;;;;;;;;;;;
65;"Wuppertal I";5;213132;;;;;;;;;;;;;;;;;;47470;;;;46638;;;;8198;;;;12499;;;;14318;;;;;;;;3561;;;;1620;;;;;;;;390;;;;202;;;;;;;;61;;;;;;;;;;;;;;;;19;;;;;;;;131;;;;311;;;;37;;;;5989;;;;187;;;;473;;;;79;;;;;;;;440;;;;227;;;;126;;;;962;;;;;;;;;;;;;;;;;;;;;;
66;"Solingen - Remscheid - Wuppertal II";5;226117;;;;;;;;;;;;;;;;;;62029;;;;48123;;;;9650;;;;10740;;;;12676;;;;;;;;3901;;;;1590;;;;;;;;345;;;;216;;;;;;;;74;;;;;;;;;;;;;;;;32;;;;;;;;177;;;;320;;;;36;;;;6853;;;;263;;;;500;;;;25;;;;;;;;347;;;;200;;;;138;;;;786;;;;;;;;;;;;;;;;;;;;;;
67;"Mettmann I";5;205564;;;;;;;;;;;;;;;;;;65696;;;;43173;;;;9660;;;;7808;;;;11699;;;;;;;;3243;;;;1273;;;;;;;;283;;;;229;;;;;;;;96;;;;;;;;;;;;;;;;45;;;;;;;;26;;;;273;;;;30;;;;7764;;;;148;;;;328;;;;47;;;;;;;;305;;;;199;;;;101;;;;457;;;;;;;;;;;;;;;;;;;;;;
68;"Mettmann II";5;165493;;;;;;;;;;;;;;;;;;50254;;;;37580;;;;7421;;;;6646;;;;8408;;;;;;;;2655;;;;1097;;;;;;;;197;;;;147;;;;;;;;55;;;;;;;;;;;;;;;;26;;;;;;;;31;;;;212;;;;21;;;;5730;;;;96;;;;245;;;;39;;;;;;;;197;;;;176;;;;74;;;;347;;;;;;;;;;;;;;;;;;;;;;
69;"Düsseldorf I";5;218889;;;;;;;;;;;;;;;;;;65978;;;;43269;;;;14985;;;;10505;;;;15445;;;;;;;;3458;;;;770;;;;;;;;379;;;;182;;;;;;;;63;;;;;;;;;;;;;;;;33;;;;;;;;81;;;;202;;;;28;;;;6891;;;;126;;;;201;;;;21;;;;;;;;241;;;;187;;;;89;;;;541;;;;;;;;;;;;;;;;;;;;;;
70;"Düsseldorf II";5;196250;;;;;;;;;;;;;;;;;;51050;;;;41737;;;;7979;;;;10705;;;;13399;;;;;;;;3509;;;;1048;;;;;;;;550;;;;188;;;;;;;;65;;;;;;;;;;;;;;;;81;;;;;;;;61;;;;245;;;;35;;;;5845;;;;154;;;;283;;;;18;;;;;;;;256;;;;193;;;;85;;;;556;;;;;;;;;;;;;;;;;;;;;;
71;"Neuss I";5;214614;;;;;;;;;;;;;;;;;;69480;;;;42604;;;;9418;;;;7606;;;;9363;;;;;;;;3666;;;;1503;;;;;;;;226;;;;187;;;;;;;;92;;;;;;;;;;;;;;;;43;;;;;;;;39;;;;297;;;;39;;;;6276;;;;201;;;;358;;;;26;;;;;;;;646;;;;168;;;;107;;;;464;;;;;;;;;;;;;;;;;;;;;;
72;"Mönchengladbach";5;192676;;;;;;;;;;;;;;;;;;55030;;;;35447;;;;7414;;;;8080;;;;7792;;;;;;;;3149;;;;1339;;;;;;;;145;;;;158;;;;;;;;45;;;;;;;;;;;;;;;;20;;;;;;;;30;;;;199;;;;23;;;;5255;;;;124;;;;310;;;;20;;;;;;;;316;;;;179;;;;123;;;;744;;;;;;;;;;;;;;;;;;;;;;
73;"Krefeld I - Neuss II";5;202204;;;;;;;;;;;;;;;;;;66802;;;;40968;;;;10901;;;;7768;;;;10303;;;;;;;;3173;;;;1192;;;;;;;;155;;;;165;;;;;;;;77;;;;;;;;;;;;;;;;34;;;;;;;;42;;;;301;;;;34;;;;5753;;;;156;;;;289;;;;24;;;;;;;;457;;;;150;;;;80;;;;596;;;;;;;;;;;;;;;;;;;;;;
74;"Viersen";5;227631;;;;;;;;;;;;;;;;;;76747;;;;44103;;;;10493;;;;8897;;;;11106;;;;;;;;3464;;;;1557;;;;;;;;145;;;;204;;;;;;;;99;;;;;;;;;;;;;;;;37;;;;;;;;32;;;;355;;;;43;;;;6806;;;;105;;;;303;;;;20;;;;;;;;457;;;;159;;;;113;;;;552;;;;;;;;;;;;;;;;;;;;;;
75;"Kleve";5;225823;;;;;;;;;;;;;;;;;;77833;;;;43253;;;;9094;;;;7322;;;;9856;;;;;;;;3212;;;;1293;;;;;;;;115;;;;198;;;;;;;;94;;;;;;;;;;;;;;;;24;;;;;;;;31;;;;280;;;;23;;;;6300;;;;47;;;;306;;;;30;;;;;;;;234;;;;137;;;;101;;;;377;;;;;;;;;;;;;;;;;;;;;;
76;"Wesel I";5;207485;;;;;;;;;;;;;;;;;;59970;;;;53249;;;;7224;;;;9091;;;;9780;;;;;;;;3154;;;;1646;;;;;;;;229;;;;158;;;;;;;;243;;;;;;;;;;;;;;;;25;;;;;;;;36;;;;256;;;;28;;;;5678;;;;84;;;;346;;;;39;;;;;;;;295;;;;179;;;;116;;;;643;;;;;;;;;;;;;;;;;;;;;;
77;"Krefeld II - Wesel II";5;182593;;;;;;;;;;;;;;;;;;47806;;;;44856;;;;7237;;;;8546;;;;9485;;;;;;;;2739;;;;1463;;;;;;;;166;;;;126;;;;;;;;74;;;;;;;;;;;;;;;;30;;;;;;;;110;;;;222;;;;27;;;;5085;;;;143;;;;404;;;;26;;;;;;;;402;;;;109;;;;106;;;;534;;;;;;;;;;;;;;;;;;;;;;
78;"Duisburg I";5;171223;;;;;;;;;;;;;;;;;;36109;;;;47165;;;;4044;;;;9475;;;;8341;;;;;;;;2897;;;;2748;;;;;;;;318;;;;156;;;;;;;;76;;;;;;;;;;;;;;;;36;;;;;;;;181;;;;267;;;;43;;;;6211;;;;336;;;;857;;;;63;;;;;;;;207;;;;177;;;;91;;;;517;;;;;;;;;;;;;;;;;;;;;;
79;"Duisburg II";5;166103;;;;;;;;;;;;;;;;;;27665;;;;44727;;;;2891;;;;9160;;;;5376;;;;;;;;2449;;;;3507;;;;;;;;299;;;;75;;;;;;;;115;;;;;;;;;;;;;;;;32;;;;;;;;228;;;;248;;;;52;;;;5349;;;;335;;;;845;;;;77;;;;;;;;143;;;;122;;;;72;;;;365;;;;;;;;;;;;;;;;;;;;;;
80;"Oberhausen - Wesel III";5;208991;;;;;;;;;;;;;;;;;;43882;;;;60222;;;;4802;;;;11732;;;;9604;;;;;;;;3579;;;;2938;;;;;;;;234;;;;167;;;;;;;;104;;;;;;;;;;;;;;;;49;;;;;;;;92;;;;293;;;;47;;;;6145;;;;155;;;;641;;;;47;;;;;;;;225;;;;168;;;;116;;;;525;;;;;;;;;;;;;;;;;;;;;;
81;"Mülheim - Essen I";5;191475;;;;;;;;;;;;;;;;;;47247;;;;53275;;;;6388;;;;8968;;;;9837;;;;;;;;2858;;;;2029;;;;;;;;227;;;;142;;;;;;;;77;;;;;;;;;;;;;;;;41;;;;;;;;108;;;;217;;;;42;;;;6404;;;;209;;;;469;;;;53;;;;;;;;167;;;;151;;;;78;;;;491;;;;;;;;;;;;;;;;;;;;;;
82;"Essen II";5;167962;;;;;;;;;;;;;;;;;;30540;;;;44684;;;;3627;;;;8716;;;;7616;;;;;;;;2733;;;;2014;;;;;;;;370;;;;88;;;;;;;;51;;;;;;;;;;;;;;;;81;;;;;;;;168;;;;191;;;;21;;;;4556;;;;231;;;;385;;;;28;;;;;;;;212;;;;153;;;;92;;;;723;;;;;;;;;;;;;;;;;;;;;;
83;"Essen III";5;195692;;;;;;;;;;;;;;;;;;54310;;;;49626;;;;8581;;;;9855;;;;14550;;;;;;;;3087;;;;1294;;;;;;;;215;;;;186;;;;;;;;60;;;;;;;;;;;;;;;;91;;;;;;;;100;;;;190;;;;32;;;;5812;;;;140;;;;326;;;;21;;;;;;;;236;;;;205;;;;98;;;;757;;;;;;;;;;;;;;;;;;;;;;
84;"Recklinghausen I";5;172167;;;;;;;;;;;;;;;;;;40898;;;;48070;;;;4100;;;;8244;;;;7716;;;;;;;;2661;;;;1530;;;;;;;;204;;;;152;;;;;;;;85;;;;;;;;;;;;;;;;21;;;;;;;;86;;;;217;;;;37;;;;5464;;;;162;;;;402;;;;41;;;;;;;;185;;;;163;;;;79;;;;410;;;;;;;;;;;;;;;;;;;;;;
85;"Recklinghausen II";5;191504;;;;;;;;;;;;;;;;;;47082;;;;54378;;;;4813;;;;8501;;;;7860;;;;;;;;3140;;;;1730;;;;;;;;252;;;;131;;;;;;;;65;;;;;;;;;;;;;;;;29;;;;;;;;140;;;;328;;;;61;;;;5494;;;;168;;;;440;;;;66;;;;;;;;266;;;;184;;;;128;;;;468;;;;;;;;;;;;;;;;;;;;;;
86;"Gelsenkirchen";5;181476;;;;;;;;;;;;;;;;;;32380;;;;51514;;;;3468;;;;8880;;;;6413;;;;;;;;2569;;;;2562;;;;;;;;463;;;;82;;;;;;;;81;;;;;;;;;;;;;;;;17;;;;;;;;398;;;;205;;;;22;;;;5553;;;;455;;;;702;;;;48;;;;;;;;448;;;;120;;;;112;;;;456;;;;;;;;;;;;;;;;;;;;;;
87;"Steinfurt I - Borken I";5;201091;;;;;;;;;;;;;;;;;;72802;;;;41073;;;;7434;;;;6420;;;;8936;;;;;;;;2778;;;;943;;;;;;;;123;;;;155;;;;;;;;54;;;;;;;;;;;;;;;;16;;;;;;;;20;;;;152;;;;24;;;;4126;;;;40;;;;146;;;;28;;;;;;;;282;;;;130;;;;90;;;;434;;;;;;;;;;;;;;;;;;;;;;
88;"Bottrop - Recklinghausen III";5;206061;;;;;;;;;;;;;;;;;;51021;;;;58800;;;;5095;;;;9153;;;;7998;;;;;;;;3029;;;;2208;;;;;;;;327;;;;465;;;;;;;;79;;;;;;;;;;;;;;;;36;;;;;;;;142;;;;280;;;;53;;;;6034;;;;243;;;;547;;;;54;;;;;;;;177;;;;142;;;;110;;;;495;;;;;;;;;;;;;;;;;;;;;;
89;"Borken II";5;198648;;;;;;;;;;;;;;;;;;80352;;;;38391;;;;7915;;;;5447;;;;9138;;;;;;;;2468;;;;948;;;;;;;;103;;;;167;;;;;;;;61;;;;;;;;;;;;;;;;17;;;;;;;;17;;;;182;;;;22;;;;4042;;;;22;;;;170;;;;12;;;;;;;;248;;;;117;;;;78;;;;352;;;;;;;;;;;;;;;;;;;;;;
90;"Coesfeld - Steinfurt II";5;190611;;;;;;;;;;;;;;;;;;74391;;;;38075;;;;8328;;;;6167;;;;12083;;;;;;;;2605;;;;812;;;;;;;;110;;;;188;;;;;;;;64;;;;;;;;;;;;;;;;14;;;;;;;;22;;;;171;;;;29;;;;4216;;;;18;;;;243;;;;13;;;;;;;;267;;;;101;;;;96;;;;472;;;;;;;;;;;;;;;;;;;;;;
91;"Steinfurt III";5;193909;;;;;;;;;;;;;;;;;;62729;;;;48324;;;;6822;;;;6765;;;;10981;;;;;;;;2504;;;;940;;;;;;;;96;;;;123;;;;;;;;50;;;;;;;;;;;;;;;;16;;;;;;;;25;;;;156;;;;24;;;;4028;;;;74;;;;115;;;;16;;;;;;;;279;;;;133;;;;89;;;;465;;;;;;;;;;;;;;;;;;;;;;
92;"Münster";5;227762;;;;;;;;;;;;;;;;;;67626;;;;48579;;;;12119;;;;11254;;;;27118;;;;;;;;4037;;;;490;;;;;;;;54;;;;595;;;;;;;;52;;;;;;;;;;;;;;;;21;;;;;;;;51;;;;123;;;;27;;;;5236;;;;59;;;;139;;;;23;;;;;;;;195;;;;218;;;;113;;;;673;;;;;;;;;;;;;;;;;;;;;;
93;"Warendorf";5;210355;;;;;;;;;;;;;;;;;;73764;;;;45609;;;;8486;;;;6858;;;;11305;;;;;;;;3123;;;;1090;;;;;;;;122;;;;178;;;;;;;;53;;;;;;;;;;;;;;;;25;;;;;;;;23;;;;223;;;;29;;;;4571;;;;53;;;;147;;;;4;;;;;;;;378;;;;93;;;;70;;;;329;;;;;;;;;;;;;;;;;;;;;;
94;"Gütersloh I";5;233596;;;;;;;;;;;;;;;;;;77361;;;;47962;;;;8236;;;;8332;;;;13148;;;;;;;;3070;;;;1260;;;;;;;;139;;;;354;;;;;;;;164;;;;;;;;;;;;;;;;21;;;;;;;;20;;;;222;;;;38;;;;5286;;;;111;;;;228;;;;17;;;;;;;;454;;;;171;;;;112;;;;437;;;;;;;;;;;;;;;;;;;;;;
95;"Bielefeld - Gütersloh II";5;247179;;;;;;;;;;;;;;;;;;62698;;;;57931;;;;7055;;;;14869;;;;20711;;;;;;;;4189;;;;1233;;;;;;;;131;;;;280;;;;;;;;63;;;;;;;;;;;;;;;;39;;;;;;;;97;;;;315;;;;51;;;;6076;;;;190;;;;336;;;;34;;;;;;;;226;;;;190;;;;93;;;;741;;;;;;;;;;;;;;;;;;;;;;
96;"Herford - Minden-Lübbecke II";5;230975;;;;;;;;;;;;;;;;;;63755;;;;56554;;;;6798;;;;9409;;;;12297;;;;;;;;3350;;;;1267;;;;;;;;211;;;;186;;;;;;;;76;;;;;;;;;;;;;;;;29;;;;;;;;36;;;;286;;;;32;;;;5832;;;;67;;;;332;;;;22;;;;;;;;661;;;;175;;;;109;;;;476;;;;;;;;;;;;;;;;;;;;;;
97;"Minden-Lübbecke I";5;206505;;;;;;;;;;;;;;;;;;59134;;;;49536;;;;6640;;;;7114;;;;10527;;;;;;;;2893;;;;936;;;;;;;;239;;;;151;;;;;;;;61;;;;;;;;;;;;;;;;16;;;;;;;;30;;;;254;;;;31;;;;5170;;;;39;;;;244;;;;28;;;;;;;;358;;;;141;;;;89;;;;395;;;;;;;;;;;;;;;;;;;;;;
98;"Lippe I";5;172330;;;;;;;;;;;;;;;;;;48776;;;;43583;;;;5698;;;;6369;;;;9123;;;;;;;;2498;;;;1020;;;;;;;;139;;;;133;;;;;;;;56;;;;;;;;;;;;;;;;18;;;;;;;;27;;;;238;;;;36;;;;4758;;;;60;;;;266;;;;29;;;;;;;;788;;;;105;;;;95;;;;379;;;;;;;;;;;;;;;;;;;;;;
99;"Höxter - Lippe II";5;213488;;;;;;;;;;;;;;;;;;70520;;;;45707;;;;7423;;;;7894;;;;10266;;;;;;;;2853;;;;1188;;;;;;;;88;;;;400;;;;;;;;63;;;;;;;;;;;;;;;;22;;;;;;;;22;;;;221;;;;29;;;;5545;;;;91;;;;198;;;;19;;;;;;;;807;;;;113;;;;91;;;;438;;;;;;;;;;;;;;;;;;;;;;
100;"Paderborn - Gütersloh III";5;247138;;;;;;;;;;;;;;;;;;89394;;;;40630;;;;8774;;;;9065;;;;12445;;;;;;;;3682;;;;1383;;;;;;;;132;;;;293;;;;;;;;76;;;;;;;;;;;;;;;;31;;;;;;;;17;;;;257;;;;31;;;;6296;;;;119;;;;248;;;;24;;;;;;;;500;;;;187;;;;126;;;;438;;;;;;;;;;;;;;;;;;;;;;
101;"Hagen - Ennepe-Ruhr-Kreis I";5;212903;;;;;;;;;;;;;;;;;;51328;;;;53380;;;;6604;;;;9820;;;;9806;;;;;;;;3262;;;;1611;;;;;;;;310;;;;159;;;;;;;;189;;;;;;;;;;;;;;;;20;;;;;;;;96;;;;305;;;;33;;;;6374;;;;142;;;;744;;;;29;;;;;;;;373;;;;182;;;;113;;;;566;;;;;;;;;;;;;;;;;;;;;;
102;"Ennepe-Ruhr-Kreis II";5;181174;;;;;;;;;;;;;;;;;;44028;;;;50946;;;;5977;;;;8498;;;;12071;;;;;;;;2951;;;;1241;;;;;;;;152;;;;187;;;;;;;;64;;;;;;;;;;;;;;;;19;;;;;;;;156;;;;222;;;;37;;;;5178;;;;143;;;;323;;;;44;;;;;;;;197;;;;153;;;;75;;;;487;;;;;;;;;;;;;;;;;;;;;;
103;"Bochum I";5;210904;;;;;;;;;;;;;;;;;;46448;;;;58766;;;;5862;;;;12022;;;;14667;;;;;;;;3903;;;;1916;;;;;;;;170;;;;237;;;;;;;;69;;;;;;;;;;;;;;;;36;;;;;;;;145;;;;245;;;;36;;;;5820;;;;196;;;;374;;;;48;;;;;;;;286;;;;187;;;;71;;;;678;;;;;;;;;;;;;;;;;;;;;;
