Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;

11;"Lübeck";1;181923;;;;;;;;;;;;;;;;;;42218;;;;42083;;;;5857;;;;7970;;;;13638;;;;;;;;2994;;;;974;;;;918;;;;;;;;;;;;;;;;;;;;422;;;;;;;;;;;;;;;;;;;;93;;;;;;;;;;;;5323;;;;;;;;;;;;;;;;;;;;781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Schleswig-Holstein";99;2251796;

12;"Hamburg-Mitte";2;256862;;;;;;;;;;;;;;;;;;44947;;;;55721;;;;6458;;;;18124;;;;22645;;;;;;;;6442;;;;1257;;;;;;;;;;;;417;;;;;;;;;;;;790;;;;;;;;;;;;;;;;;;;;92;;;;;;;;;;;;7186;;;;;;;;;;;;;;;;;;;;589;;;;;;;;;;;;1545;;;;;;;;;;;;;;;;;;;;;;
13;"Hamburg-Altona";2;182776;;;;;;;;;;;;;;;;;;39581;;;;40009;;;;7353;;;;14525;;;;22167;;;;;;;;3630;;;;528;;;;;;;;;;;;334;;;;;;;;;;;;420;;;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;;4321;;;;;;;;;;;;;;;;;;;;384;;;;;;;;;;;;1089;;;;;;;;;;;;;;;;;;;;;;
14;"Hamburg-Eimsbüttel";2;189772;;;;;;;;;;;;;;;;;;43989;;;;44492;;;;7308;;;;12137;;;;22074;;;;;;;;3751;;;;551;;;;;;;;;;;;293;;;;;;;;;;;;525;;;;;;;;;;;;;;;;;;;;56;;;;;;;;;;;;5197;;;;;;;;;;;;;;;;;;;;397;;;;;;;;;;;;870;;;;;;;;;;;;;;;;;;;;;;
15;"Hamburg-Nord";2;211824;;;;;;;;;;;;;;;;;;59244;;;;49039;;;;10242;;;;10615;;;;20357;;;;;;;;3638;;;;588;;;;;;;;;;;;297;;;;;;;;;;;;585;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;;6721;;;;;;;;;;;;;;;;;;;;392;;;;;;;;;;;;681;;;;;;;;;;;;;;;;;;;;;;
16;"Hamburg-Wandsbek";2;218797;;;;;;;;;;;;;;;;;;50641;;;;50339;;;;6556;;;;11078;;;;12667;;;;;;;;3437;;;;1336;;;;;;;;;;;;229;;;;;;;;;;;;793;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;7093;;;;;;;;;;;;;;;;;;;;560;;;;;;;;;;;;592;;;;;;;;;;;;;;;;;;;;;;
17;"Hamburg-Bergedorf - Harburg";2;221887;;;;;;;;;;;;;;;;;;47525;;;;49302;;;;4952;;;;11817;;;;12916;;;;;;;;3607;;;;1398;;;;;;;;;;;;393;;;;;;;;;;;;706;;;;;;;;;;;;;;;;;;;;76;;;;;;;;;;;;6624;;;;;;;;;;;;;;;;;;;;534;;;;;;;;;;;;866;;;;;;;;;;;;;;;;;;;;;;
2;"Hamburg";99;1281918;
